Player,Age,Year,playerID,MLS,QO,acceptQO,Salary,leng,catcher,cornerIF,MIF,OF,DHonly,G,PA,wRC+,wSB,BsR,Off,Def,FRM,WAR,Dol,QOAmount,SalaryOverQO
A.J. Pierzynski,35,2012,746,12.1,0,0,6000000,1,1,0,0,0,0,135,520,119,-0.5,-1.9,9.5,4.2,-2.5,3.3,21.3,13300000,0
Adam LaRoche,32,2012,1904,9,1,0,8000000,1,0,1,0,0,0,154,647,127,-0.9,-1.5,19,-6.3,NA,3.4,22,13300000,0
Alex Gonzalez,35,2012,520,14.034,0,0,3500000,1,0,0,1,0,0,24,89,111,-0.3,-0.3,0.8,-0.7,NA,0.3,1.9,13300000,0
Angel Pagan,30,2012,2918,6.144,0,0,4850000,1,0,0,0,1,0,154,659,115,2.3,9.3,21.1,2.7,NA,4.6,29.9,13300000,0
Carlos Pena,34,2012,934,9.133,0,0,7250000,1,0,1,0,0,0,160,600,98,-1.5,-4,-5.1,-9.4,NA,0.6,3.9,13300000,0
Cody Ross,31,2012,1760,7.058,0,0,3000000,3,0,0,0,1,0,130,528,114,-1.3,0.5,9.1,-1.5,NA,2.7,17.4,13300000,0
David Ortiz,36,2012,745,14.048,1,0,14575000,1,0,1,0,0,0,90,383,170,-0.8,-5,26.1,-9.3,NA,3.1,20.3,13300000,1
David Ross,35,2012,1551,10.001,0,0,1625000,1,1,0,0,0,0,62,196,109,0,-1.1,1,17.2,11.1,2.5,16.4,13300000,0
Delmon Young,26,2012,2140,6.034,0,0,6750000,1,0,0,0,1,0,151,608,89,-1.4,-5.4,-13.3,-18.2,NA,-1.1,-7.4,13300000,0
Eric Chavez,34,2012,906,14.02,0,0,900000,2,0,1,0,0,0,113,313,126,-0.4,-2.7,6.8,-2.2,NA,1.6,10.3,13300000,0
Eric Hinske,34,2012,1305,11,0,0,1600000,2,0,1,0,1,0,91,147,56,-0.1,-2.1,-9.8,-3.9,NA,-1,-6.3,13300000,0
Gerald Laird,32,2012,1698,8.077,0,0,1000000,1,1,0,0,0,0,63,191,95,-0.2,0.3,-0.8,-10.7,-12.3,-0.5,-3.4,13300000,0
Jeff Keppinger,32,2012,3856,6.052,0,0,1525000,3,0,1,1,0,0,115,418,128,-0.4,-2.1,11.6,0.1,NA,2.7,17.6,13300000,0
Jonny Gomes,31,2012,1845,7.097,0,0,1000000,1,0,0,0,1,0,99,333,142,-0.2,1.7,18.1,-7.5,NA,2.3,14.9,13300000,0
Josh Hamilton,31,2012,1875,6,1,0,15250000,2,0,0,0,1,0,148,636,141,-0.8,4.8,35.5,-10.6,NA,4.9,31.6,13300000,1
Juan Pierre,34,2012,443,12.056,0,0,800000,1,0,0,0,1,0,130,439,99,4,6.5,6,-4,NA,1.6,10.4,13300000,0
Lance Berkman,36,2012,548,13.052,0,0,12000000,1,0,1,0,0,0,32,97,124,0.3,-0.3,2.4,-4.2,NA,0.1,0.8,13300000,0
Luke Scott,34,2012,3469,6.144,0,0,5000000,1,0,1,0,0,0,96,344,98,0.7,-0.5,-1.4,-9.8,NA,0,0.3,13300000,0
Maicer Izturis,31,2012,2437,8.038,0,0,3966666,3,0,1,1,0,0,100,319,83,2.2,2.1,-4.2,0.8,NA,0.8,5,13300000,0
Melvin Upton Jr.,27,2012,5015,6.126,1,0,7000000,1,0,0,0,1,0,146,633,108,3.2,5.1,10.9,-0.1,NA,3.4,21.9,13300000,0
Michael Bourn,29,2012,6387,6.028,1,0,6845000,1,0,0,0,1,0,155,703,104,2.3,7.9,11.3,18.2,NA,5.3,34.6,13300000,0
Mike Napoli,30,2012,3057,6.151,0,0,9400000,2,1,1,0,0,0,108,417,116,-0.3,-1.1,6.5,-16.9,-16.4,0.4,2.5,13300000,0
Nick Swisher,31,2012,4599,8.031,1,0,10250000,2,0,1,0,1,0,148,624,128,-1.5,0.5,20.7,-7.1,NA,3.6,23.6,13300000,0
Placido Polanco,36,2012,1176,14.064,0,0,6416666,1,0,1,0,0,0,90,328,72,-0.4,-0.4,-11.5,8.3,NA,0.7,4.6,13300000,0
Raul Ibanez,40,2012,607,15.02,0,0,1100000,2,0,0,0,1,0,130,425,102,0.2,-1.4,-0.6,-8.8,NA,0.5,3.4,13300000,0
Russell Martin,29,2012,4616,6.15,0,0,7500000,1,1,0,0,0,0,133,485,95,0.3,-0.6,-3.3,23.1,16.5,3.8,24.6,13300000,0
Ryan Ludwick,33,2012,1260,7.109,0,0,2000000,1,0,0,0,1,0,125,472,134,-0.9,-0.1,19,-8.2,NA,2.6,17.1,13300000,0
Scott Hairston,32,2012,1926,7.102,0,0,1100000,3,0,0,0,1,0,134,398,119,0.5,0.7,9.6,-6.3,NA,1.6,10.5,13300000,0
Travis Hafner,35,2012,1573,10.009,0,0,13000000,1,0,0,0,0,1,66,263,118,-0.3,-3.5,2.2,-6.6,NA,0.5,3,13300000,0
Ty Wigginton,34,2012,1491,9.169,0,0,4000000,3,0,1,0,1,0,125,360,87,-0.2,0.8,-4.8,-10.8,NA,-0.5,-3.2,13300000,0
A.J. Pierzynski,36,2013,746,13.1,0,0,7500000,1,1,0,0,0,0,134,529,90,-0.6,-5,-11.1,-3.3,-9.9,0.3,2.2,14100000,0
Brayan Pena,31,2013,3231,6.081,0,0,875000,1,1,0,0,0,0,71,243,94,-1,-5.9,-7.7,3.1,2.6,0.4,2.6,14100000,0
Brian McCann,29,2013,4810,8.117,1,0,12000000,1,1,0,0,0,0,102,402,122,-0.7,-4.1,5.8,14.9,7.2,3.5,26.2,14100000,0
Brian Roberts,35,2013,166,11.131,0,0,10000000,1,0,0,1,0,0,77,296,91,0,0.7,-2.5,3.2,NA,1.1,8.2,14100000,0
Carlos Beltran,36,2013,589,15.014,1,0,13000000,1,0,0,0,1,0,145,600,131,-0.5,0.9,21.7,-14.7,NA,2.7,19.9,14100000,0
Carlos Ruiz,34,2013,2579,7.069,0,0,5000000,1,1,0,0,0,0,92,341,90,-0.1,0.1,-3.8,-4,-10.2,0.3,1.9,14100000,0
Clint Barmes,34,2013,1830,8.122,0,0,5500000,1,0,0,1,0,0,108,330,53,-0.2,0.7,-16.8,3.3,NA,-0.4,-2.9,14100000,0
Curtis Granderson,32,2013,4747,8.077,1,0,15000000,3,0,0,0,1,0,61,245,98,0.6,2.6,2.2,1.4,NA,1.2,9.2,14100000,1
Derek Jeter,39,2013,826,18.043,0,0,16729365,1,0,0,1,0,0,17,73,49,-0.1,-0.4,-4.6,-2.3,NA,-0.5,-3.6,14100000,1
Dioner Navarro,29,2013,3179,7.091,0,0,1750000,1,1,0,0,0,0,89,266,139,-0.6,-2.8,8.8,1.2,-1.4,1.9,14.4,14100000,0
Eric Chavez,35,2013,906,15.02,0,0,3000000,2,0,1,0,0,0,80,254,114,0,-0.5,3.6,-1.9,NA,1,7.4,14100000,0
Franklin Gutierrez,30,2013,3255,7.08,0,0,7312500,2,0,0,0,1,0,41,151,115,0.1,1,3.5,-1.7,NA,0.7,5.4,14100000,0
Geovany Soto,30,2013,3707,6.096,0,0,2750000,1,1,0,0,0,0,54,184,114,-0.7,-3.8,-0.9,5.2,0.4,1.1,8.2,14100000,0
Hunter Pence,30,2013,8252,6.156,0,0,13800000,1,0,0,0,1,0,162,687,135,2.7,5.5,32.2,-10.9,NA,4.5,33.5,14100000,0
Jacoby Ellsbury,29,2013,4727,6.037,1,0,9000000,1,0,0,0,1,0,134,636,112,8.3,10.7,19.1,2.9,NA,4.6,34.1,14100000,0
James Loney,29,2013,4556,7.012,0,0,2000000,1,0,1,0,0,0,158,598,117,-0.3,-1.8,9.8,-8.4,NA,2.2,16.6,14100000,0
Jarrod Saltalamacchia,28,2013,5557,6.043,0,0,4500000,1,1,0,0,0,0,121,470,116,0.1,1.7,10.1,3.1,-4.2,3.1,22.7,14100000,0
Jhonny Peralta,31,2013,1738,9.118,0,0,6000000,1,0,0,1,0,0,107,448,124,-1,-0.8,11.6,7.3,NA,3.6,26.7,14100000,0
Jose Molina,38,2013,25,12.026,0,0,1500000,1,1,0,0,0,0,99,313,67,-0.2,-1.4,-13.1,22.7,18.9,2.1,15.8,14100000,0
Juan Uribe,34,2013,454,12.089,0,0,7295911,1,0,1,0,0,0,132,426,116,0.6,0.4,8.1,14,NA,3.8,27.8,14100000,0
Kelly Johnson,31,2013,2234,8.127,0,0,2450000,3,0,1,1,1,0,118,407,100,-0.5,1,1,-4,NA,1.1,8.2,14100000,0
Kendrys Morales,30,2013,8610,6.057,1,0,5250000,1,0,1,0,0,0,156,657,119,-0.5,-7.5,6.9,-17,NA,1.2,9,14100000,0
Kevin Frandsen,31,2013,7528,4.151,0,0,850000,2,0,1,1,0,0,119,278,78,0,-1.8,-8.8,-0.2,NA,-0.1,-0.5,14100000,0
Mark Ellis,36,2013,1443,11.136,0,0,5250000,1,0,0,1,0,0,126,480,92,0,1.8,-2.7,2.4,NA,1.5,11.2,14100000,0
Mike Napoli,31,2013,3057,7.151,1,0,5000000,1,0,1,0,0,0,139,578,128,-0.7,-1.2,17.5,-4.9,NA,3.4,25,14100000,0
Nate McLouth,31,2013,3190,7.152,0,0,2000000,1,0,0,0,1,0,146,593,100,2.8,6.1,6.1,-4.5,NA,2.3,16.7,14100000,0
Nelson Cruz,32,2013,2434,6.082,1,0,10250000,1,0,0,0,1,0,109,456,122,0.3,-4.3,6.8,-7,NA,1.6,11.7,14100000,0
