Player,Age,Year,playerID,MLS,Salary,leng,catcher,cornerIF,MIF,OF,DHonly,G,PA,wRC+,wSB,BsR,Off,Def,FRM,WAR,Dol,QOAmount,SalaryOverQO,QO,acceptQO
Adam LaRoche,32,2012,1904,9,8000000,1,0,1,0,0,0,154,647,127,-0.9,-1.5,19,-6.3,NA,3.4,22,13300000,0,1,0
David Ortiz,36,2012,745,14.048,14575000,1,0,1,0,0,0,90,383,170,-0.8,-5,26.1,-9.3,NA,3.1,20.3,13300000,1,1,0
Josh Hamilton,31,2012,1875,6,15250000,2,0,0,0,1,0,148,636,141,-0.8,4.8,35.5,-10.6,NA,4.9,31.6,13300000,1,1,0
Melvin Upton Jr.,27,2012,5015,6.126,7000000,1,0,0,0,1,0,146,633,108,3.2,5.1,10.9,-0.1,NA,3.4,21.9,13300000,0,1,0
Michael Bourn,29,2012,6387,6.028,6845000,1,0,0,0,1,0,155,703,104,2.3,7.9,11.3,18.2,NA,5.3,34.6,13300000,0,1,0
Nick Swisher,31,2012,4599,8.031,10250000,2,0,1,0,1,0,148,624,128,-1.5,0.5,20.7,-7.1,NA,3.6,23.6,13300000,0,1,0
Brian McCann,29,2013,4810,8.117,12000000,1,1,0,0,0,0,102,402,122,-0.7,-4.1,5.8,14.9,7.2,3.5,26.2,14100000,0,1,0
Carlos Beltran,36,2013,589,15.014,13000000,1,0,0,0,1,0,145,600,131,-0.5,0.9,21.7,-14.7,NA,2.7,19.9,14100000,0,1,0
Curtis Granderson,32,2013,4747,8.077,15000000,3,0,0,0,1,0,61,245,98,0.6,2.6,2.2,1.4,NA,1.2,9.2,14100000,1,1,0
Jacoby Ellsbury,29,2013,4727,6.037,9000000,1,0,0,0,1,0,134,636,112,8.3,10.7,19.1,2.9,NA,4.6,34.1,14100000,0,1,0
Kendrys Morales,30,2013,8610,6.057,5250000,1,0,1,0,0,0,156,657,119,-0.5,-7.5,6.9,-17,NA,1.2,9,14100000,0,1,0
Mike Napoli,31,2013,3057,7.151,5000000,1,0,1,0,0,0,139,578,128,-0.7,-1.2,17.5,-4.9,NA,3.4,25,14100000,0,1,0
Nelson Cruz,32,2013,2434,6.082,10250000,1,0,0,0,1,0,109,456,122,0.3,-4.3,6.8,-7,NA,1.6,11.7,14100000,0,1,0
Robinson Cano,30,2013,3269,8.153,15000000,1,0,0,1,0,0,160,681,143,0.4,-4.5,29.1,3.6,NA,5.9,43.7,14100000,1,1,0
Shin-Soo Choo,30,2013,3174,6.119,7375000,1,0,0,0,1,0,154,712,150,-1.1,2.2,42.4,-4.2,NA,6.4,47.6,14100000,0,1,0
Stephen Drew,30,2013,4251,7.079,9500000,1,0,0,1,0,0,124,501,108,0.8,-0.8,3.8,13.7,NA,3.6,26.9,14100000,0,1,0
Hanley Ramirez,30,2014,8001,9.014,16000000,1,0,0,1,0,0,128,512,136,0.4,0.5,21.4,-2.8,NA,3.7,28.4,15300000,1,1,0
Melky Cabrera,29,2014,4022,8.148,8000000,1,0,0,0,1,0,139,621,127,-0.2,-3.4,14.9,-6.1,NA,3.1,23.6,15300000,0,1,0
Michael Cuddyer,35,2014,1534,11.157,10500000,3,0,1,0,1,0,49,205,150,0.4,0.5,12,-3.9,NA,1.6,11.9,15300000,0,1,0
Nelson Cruz,33,2014,2434,7.082,8000000,2,0,0,0,1,0,159,678,137,-1.6,-4.8,22.9,-9,NA,3.9,29.4,15300000,0,1,0
Pablo Sandoval,27,2014,5409,6.047,8250000,1,0,1,0,0,0,157,638,110,-0.6,-4.6,2.5,7.9,NA,3.2,24.7,15300000,0,1,0
Russell Martin,31,2014,4616,8.15,8500000,1,1,0,0,0,0,111,460,140,-1.3,-4.3,16.5,26.5,11.6,6.2,47.4,15300000,0,1,0
Victor Martinez,35,2014,393,11.114,12000000,1,0,1,0,0,0,151,641,168,-0.8,-7.6,40,-19,-0.3,4.5,34.4,15300000,0,1,0
Alex Gordon,31,2015,5209,8.092,12500000,1,0,0,0,1,0,104,422,122,-1.8,-0.7,9.9,2.2,NA,2.7,21.9,15800000,0,1,0
Chris Davis,29,2015,9272,6.061,12000000,2,0,1,0,1,0,160,670,149,-1.1,-0.7,37.2,-7.9,NA,5.4,43.5,15800000,0,1,0
Colby Rasmus,28,2015,9893,7,8000000,3,0,0,0,1,0,137,485,118,-0.2,5.1,15.4,-4.2,NA,2.9,23,15800000,0,1,1
Daniel Murphy,30,2015,4316,6.109,8000000,3,0,1,1,0,0,130,538,109,-0.6,-0.5,5.2,-1.4,NA,2.2,17.4,15800000,0,1,0
Dexter Fowler,29,2015,4062,6.168,9500000,1,0,0,0,1,0,156,690,109,0.9,-0.1,7.5,-0.9,NA,3,23.7,15800000,0,1,0
Howie Kendrick,31,2015,4229,9.091,9500000,1,0,0,1,0,0,117,495,109,0.2,2,7.2,-0.1,NA,2.4,19,15800000,0,1,0
Ian Desmond,29,2015,6885,6.027,11000000,1,0,0,1,0,0,156,641,83,0.4,5.5,-7.3,0.8,NA,1.4,11.3,15800000,0,1,0
Jason Heyward,25,2015,4940,6,7800000,2,0,0,0,1,0,154,610,121,3.1,7.2,22.2,11.3,NA,5.6,44.4,15800000,0,1,0
